epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,122.049,0.61612,0.71218,1.08179,0.85178,0.41326,0.5327,0.30043,1.82828,2.11767,1.48393,2.29819e-05,2.29819e-05,2.29819e-05
77,123.603,0.79403,1.03141,1.20754,0.85178,0.41326,0.5327,0.30043,1.82828,2.11767,1.48393,2.23929e-05,2.23929e-05,2.23929e-05
78,125.286,0.74194,0.81414,1.13992,0.86378,0.41033,0.42711,0.28607,1.84228,2.19147,1.5089,2.17805e-05,2.17805e-05,2.17805e-05
79,126.89,0.79975,0.77846,1.17323,0.86378,0.41033,0.42711,0.28607,1.84228,2.19147,1.5089,2.11444e-05,2.11444e-05,2.11444e-05
80,128.437,0.85863,0.6949,1.29213,0.86378,0.41033,0.42711,0.28607,1.84228,2.19147,1.5089,2.04848e-05,2.04848e-05,2.04848e-05
81,130.021,0.66075,0.57861,1.17065,0.86532,0.41043,0.42734,0.27271,1.90557,2.29166,1.57094,1.98016e-05,1.98016e-05,1.98016e-05
82,131.585,0.6726,0.6437,1.17374,0.86532,0.41043,0.42734,0.27271,1.90557,2.29166,1.57094,1.90949e-05,1.90949e-05,1.90949e-05
83,133.221,0.60924,0.96883,1.06117,0.86532,0.41043,0.42734,0.27271,1.90557,2.29166,1.57094,1.83646e-05,1.83646e-05,1.83646e-05
84,134.773,0.65214,0.7004,0.99759,0.87221,0.41043,0.42723,0.26628,1.91664,2.32077,1.57479,1.76107e-05,1.76107e-05,1.76107e-05
85,136.354,0.57915,0.59589,1.07172,0.87221,0.41043,0.42723,0.26628,1.91664,2.32077,1.57479,1.68333e-05,1.68333e-05,1.68333e-05
86,137.955,0.8027,0.96863,1.33047,0.87221,0.41043,0.42723,0.26628,1.91664,2.32077,1.57479,1.60323e-05,1.60323e-05,1.60323e-05
87,139.568,0.5258,0.70347,1.07304,0.87221,0.41043,0.42723,0.26628,1.91664,2.32077,1.57479,1.52077e-05,1.52077e-05,1.52077e-05
88,141.273,0.72042,0.92637,1.15568,0.8789,0.41129,0.42631,0.26809,1.90399,2.32588,1.57684,1.43596e-05,1.43596e-05,1.43596e-05
89,143.004,0.53527,0.6215,1.05572,0.8789,0.41129,0.42631,0.26809,1.90399,2.32588,1.57684,1.34879e-05,1.34879e-05,1.34879e-05
90,144.618,0.59559,0.54502,1.00677,0.8789,0.41129,0.42631,0.26809,1.90399,2.32588,1.57684,1.25927e-05,1.25927e-05,1.25927e-05
91,146.312,0.5495,0.51676,1.02643,0.8789,0.41129,0.42631,0.26809,1.90399,2.32588,1.57684,1.16739e-05,1.16739e-05,1.16739e-05
92,147.87,0.54602,0.51699,0.86479,0.87971,0.40986,0.42551,0.26806,1.85429,2.22379,1.53328,1.07315e-05,1.07315e-05,1.07315e-05
93,149.471,0.61539,0.599,1.09084,0.87971,0.40986,0.42551,0.26806,1.85429,2.22379,1.53328,9.76562e-06,9.76562e-06,9.76562e-06
94,150.99,0.4268,0.48138,0.89151,0.87971,0.40986,0.42551,0.26806,1.85429,2.22379,1.53328,8.77613e-06,8.77613e-06,8.77613e-06
95,152.591,0.46626,0.43249,0.90277,0.87971,0.40986,0.42551,0.26806,1.85429,2.22379,1.53328,7.76308e-06,7.76308e-06,7.76308e-06
96,154.127,0.56891,0.4694,0.97814,0.83869,0.49902,0.51763,0.24187,1.86268,2.0996,1.51172,6.72648e-06,6.72648e-06,6.72648e-06
97,155.668,0.558,0.53576,0.89949,0.83869,0.49902,0.51763,0.24187,1.86268,2.0996,1.51172,5.6663e-06,5.6663e-06,5.6663e-06
98,157.23,0.60001,0.5408,0.98758,0.83869,0.49902,0.51763,0.24187,1.86268,2.0996,1.51172,4.58257e-06,4.58257e-06,4.58257e-06
99,158.92,0.62264,0.53444,1.06728,0.83869,0.49902,0.51763,0.24187,1.86268,2.0996,1.51172,3.47528e-06,3.47528e-06,3.47528e-06
100,160.517,0.43506,0.45878,0.95275,0.8217,0.50133,0.53897,0.29402,1.81097,2.20955,1.51516,2.34442e-06,2.34442e-06,2.34442e-06
